,date,open,high,low,close,volume,tic
305,2020.09.07,1.31651,1.3166200000000001,1.31651,1.31656,25,GBPUSD
306,2020.09.07,1.31656,1.31663,1.31644,1.3165200000000001,41,GBPUSD
307,2020.09.07,1.3165200000000001,1.3166,1.31647,1.31653,20,GBPUSD
308,2020.09.07,1.31653,1.31653,1.31636,1.3164,39,GBPUSD
309,2020.09.07,1.3164,1.3165200000000001,1.31578,1.3161200000000002,76,GBPUSD
310,2020.09.07,1.3161,1.31634,1.31607,1.3162,39,GBPUSD
311,2020.09.07,1.3162,1.31644,1.31618,1.31637,52,GBPUSD
312,2020.09.07,1.31637,1.31637,1.316,1.3161399999999999,41,GBPUSD
313,2020.09.07,1.3161200000000002,1.31616,1.31589,1.31597,29,GBPUSD
314,2020.09.07,1.31597,1.3160100000000001,1.3158100000000001,1.3159100000000001,36,GBPUSD
315,2020.09.07,1.3159,1.3159,1.3155700000000001,1.31569,31,GBPUSD
316,2020.09.07,1.31571,1.31572,1.3155,1.3155,38,GBPUSD
317,2020.09.07,1.31551,1.31551,1.31535,1.3154,23,GBPUSD
318,2020.09.07,1.3154,1.31552,1.31535,1.31541,33,GBPUSD
319,2020.09.07,1.31541,1.31554,1.3153299999999999,1.31535,24,GBPUSD
320,2020.09.07,1.31535,1.31536,1.31481,1.31481,25,GBPUSD
321,2020.09.07,1.31481,1.31502,1.3147799999999998,1.3149899999999999,30,GBPUSD
322,2020.09.07,1.3149899999999999,1.31532,1.31498,1.31525,21,GBPUSD
323,2020.09.07,1.31525,1.31542,1.31525,1.31534,25,GBPUSD
324,2020.09.07,1.31534,1.31534,1.3149600000000001,1.315,27,GBPUSD
325,2020.09.07,1.315,1.31569,1.3149899999999999,1.31569,36,GBPUSD
326,2020.09.07,1.31569,1.3163200000000002,1.31565,1.31615,70,GBPUSD
327,2020.09.07,1.31615,1.31626,1.3156700000000001,1.31569,43,GBPUSD
328,2020.09.07,1.31569,1.3158100000000001,1.31569,1.31572,28,GBPUSD
329,2020.09.07,1.31572,1.31586,1.31572,1.3158299999999998,18,GBPUSD
330,2020.09.07,1.3158100000000001,1.31606,1.3154,1.3159100000000001,56,GBPUSD
331,2020.09.07,1.3159100000000001,1.3160100000000001,1.3159100000000001,1.3159100000000001,20,GBPUSD
332,2020.09.07,1.3159100000000001,1.31627,1.3159100000000001,1.31615,30,GBPUSD
333,2020.09.07,1.31615,1.31615,1.3158100000000001,1.31586,23,GBPUSD
334,2020.09.07,1.31586,1.31592,1.31579,1.3159,21,GBPUSD
335,2020.09.07,1.3159,1.31608,1.31587,1.31602,23,GBPUSD
336,2020.09.07,1.3160100000000001,1.31615,1.31589,1.31596,34,GBPUSD
337,2020.09.07,1.31596,1.31596,1.31574,1.31586,20,GBPUSD
